word;total;ge_std;co_std;male;female;unknown;ar;cl;co;es;mx;pe;ve
remix;1141;250.444;48.246;582;100;459;116;154;226;216;186;143;100
ama;1951;176.046;90.040;607;500;844;277;155;394;178;294;276;377
crei;551;54.519;31.399;182;130;239;88;75;72;41;132;98;45
horas;9839;927.435;250.506;3754;2211;3874;1609;1236;1135;1841;1323;1470;1225
#7deldebatedecisivo;612;213.570;231.314;450;66;96;0;0;0;612;0;0;0
empezado;553;8.737;68.852;194;182;177;30;79;137;205;32;54;16
figura;513;101.799;10.062;268;65;180;76;80;85;65;55;76;76
madero;687;117.580;160.247;309;94;284;174;38;3;8;435;9;20
nacional;7841;1381.436;501.162;3856;1126;2859;748;984;1463;371;1493;952;1830
contenta;504;84.929;34.078;71;229;204;111;70;52;128;43;57;43
para;195555;25302.886;4525.533;80748;35989;78818;25087;25663;32095;27337;23664;25532;36177
ignorancia;728;110.947;55.579;336;120;272;75;96;106;79;54;94;224
ello;1106;186.022;102.170;553;181;372;36;96;121;355;153;132;213
imagenes;1304;175.460;53.925;572;237;495;99;252;195;209;172;140;237
oscar;983;133.927;38.755;455;188;340;66;123;143;158;137;175;181
defender;898;145.180;87.589;454;166;278;112;88;87;141;51;102;317
realidad;5196;634.662;209.661;2232;1018;1946;546;562;946;619;690;726;1107
humilde;575;80.308;37.967;241;99;235;67;81;97;59;46;65;160
enrique;717;125.821;30.544;353;104;260;43;123;102;106;138;89;116
modelo;1574;262.149;83.760;758;241;575;166;182;281;291;140;157;357
promocion;944;232.681;88.843;274;105;565;37;57;168;93;151;134;304
hacerle;625;77.681;22.933;239;120;266;107;86;121;58;74;72;107
templo;504;84.929;46.637;229;71;204;33;49;35;139;139;59;50
estaba;7141;720.145;331.896;2691;1557;2893;1604;1308;792;921;856;1025;635
tirar;816;123.843;67.332;343;129;344;253;90;88;157;73;93;62
wa;501;123.988;46.583;75;118;308;42;44;87;162;88;56;22
primeras;719;96.028;36.303;301;129;289;87;78;99;179;116;78;82
rompe;840;100.504;70.901;300;171;369;272;53;86;111;84;120;114
tt;868;28.537;49.920;317;260;291;136;157;72;151;55;195;102
boca;4118;602.616;491.149;1707;677;1734;1690;247;443;460;422;412;444
viaje;4418;446.715;121.663;1866;987;1565;606;785;609;647;646;727;398
protesta;599;108.666;107.941;298;83;218;37;42;69;34;45;43;329
casi;8082;931.116;170.220;3113;1627;3342;1226;1084;1229;1229;1408;1013;893
use;713;121.944;27.793;323;98;292;96;84;62;91;105;134;141
busco;1021;100.600;35.183;353;234;434;203;120;177;113;136;160;112
estupida;757;82.470;49.961;225;187;345;160;71;98;29;165;141;93
veamos;632;90.941;45.777;277;107;248;36;133;48;74;166;87;88
zapatos;993;104.096;28.257;277;265;451;142;154;139;114;164;99;181
fotografia;1468;221.270;90.160;609;234;625;271;137;142;367;205;111;235
leopoldo;857;96.645;276.093;362;177;318;10;23;38;22;1;15;748
lata;526;67.575;110.048;241;106;179;17;323;20;34;42;55;35
soy;24503;2407.883;626.543;8044;5824;10635;4514;2850;3667;3014;3974;3618;2866
>;8414;1378.064;971.014;3381;1232;3801;851;739;478;642;604;2055;3045
sonrisa;4069;446.539;160.702;1283;951;1835;554;287;834;584;599;572;639
paises;1253;247.972;115.777;643;152;458;83;168;161;187;70;163;421
2011;559;122.826;21.629;314;69;176;68;122;60;83;60;89;77
pide;2219;338.468;102.653;996;356;867;246;239;380;331;213;301;509
min;1561;219.582;48.318;668;268;625;173;276;145;224;226;265;252
#soundcloud;904;222.338;89.840;479;52;373;7;158;128;257;221;62;71
comentarios;1289;144.777;40.839;569;280;440;129;232;194;205;125;200;204
stats;5553;1098.313;301.513;2002;685;2866;472;634;1073;1131;367;916;960
brazo;500;56.048;16.920;184;104;212;105;69;50;65;74;63;74
palabra;2913;309.152;160.753;1116;616;1181;390;236;489;356;308;400;734
15;5954;990.670;147.841;2450;847;2657;947;647;836;967;766;729;1062
monton;840;62.450;43.791;300;210;330;185;82;103;147;57;117;149
morir;3021;314.844;92.094;990;701;1330;609;363;369;378;488;449;365
pinches;762;148.000;244.855;254;106;402;3;4;28;12;663;46;6
reforma;1022;243.816;156.210;610;135;277;29;121;95;129;492;89;67
peliculas;2029;243.097;58.073;829;396;804;242;293;326;236;349;363;220
tremenda;1224;220.837;92.337;536;153;535;221;303;161;92;47;137;263
barca;1337;337.625;206.648;816;155;366;108;65;130;648;86;93;207
causa;1663;224.072;86.066;696;296;671;164;176;261;188;166;354;354
podido;880;101.096;85.755;377;181;322;24;69;175;280;78;95;159
duran;586;144.943;53.665;152;77;357;72;62;196;105;57;37;57
nada;36983;3889.734;789.064;13699;7938;15346;6814;4338;4951;4982;4952;5232;5714
face;974;105.078;65.065;396;204;374;249;145;101;75;143;192;69
cuarto;1515;208.976;84.904;636;264;615;204;90;168;224;276;360;193
boletos;653;143.005;196.226;339;60;254;10;25;13;6;537;12;50
papa;6625;630.811;307.650;2463;1490;2672;1301;902;1301;420;768;918;1015
retweet;749;343.448;230.711;644;16;89;11;25;630;29;23;18;13
jajajajajajajajaja;900;124.431;50.980;262;199;439;210;62;140;99;97;177;115
podra;959;107.258;57.286;414;203;342;77;89;166;140;97;147;243
pequenyas;663;48.570;37.183;218;174;271;61;79;116;167;64;78;98
cita;1900;415.632;205.253;523;284;1093;85;105;237;314;295;172;692
pidio;565;77.745;39.411;250;101;214;152;98;58;27;60;91;79
sebastian;664;94.680;53.280;293;114;257;65;206;118;70;87;58;60
trago;599;95.970;51.681;260;89;250;71;82;99;48;64;194;41
seguro;5825;946.019;239.021;2672;873;2280;1046;559;600;1059;754;679;1128
sigues;1209;20.518;113.063;402;383;424;37;93;116;204;217;386;156
curioso;513;107.722;51.800;293;89;131;17;45;76;181;62;78;54
fm;1318;298.500;247.698;439;141;738;80;118;168;54;97;58;743
why;776;34.933;57.030;290;221;265;51;90;74;125;171;201;64
sonido;1024;155.568;44.425;422;162;440;89;138;212;197;112;126;150
japon;583;129.940;30.048;330;71;182;143;102;65;79;59;73;62
place;645;72.918;57.400;299;168;178;52;204;88;74;126;69;32
centros;520;109.510;74.067;282;63;175;37;28;48;74;41;53;239
ratito;874;48.604;74.522;253;275;346;197;164;19;196;158;110;30
iniciando;509;70.685;79.229;234;94;181;8;38;155;10;213;48;37
igualdad;505;67.122;27.553;243;113;149;62;66;63;112;32;65;105
estudiando;1103;107.895;116.980;339;277;487;399;180;81;179;74;128;62
huevos;1455;248.155;106.241;660;201;594;403;122;127;308;162;157;176
hablan;2026;233.778;66.558;784;407;835;375;242;332;211;244;256;366
ropa;2489;305.444;61.703;732;585;1172;475;377;341;278;319;365;334
alguna;4233;594.965;80.820;1830;730;1673;605;684;514;727;546;628;529
ojala;7780;851.272;254.219;3115;1611;3054;1467;1259;1317;869;1111;1001;756
regimen;864;146.738;225.634;450;164;250;31;29;33;46;13;79;633
viste;1849;199.141;216.055;673;395;781;736;282;133;111;203;158;226
rica;2179;193.397;183.394;805;506;868;161;658;138;225;316;440;241
arranca;755;135.736;80.869;326;95;334;241;44;94;99;38;42;197
economia;1926;345.317;105.657;932;260;734;291;227;137;267;206;329;469
pongan;946;134.705;27.456;436;170;340;148;89;109;171;150;139;140
junto;6423;963.346;537.502;2797;1035;2591;633;1595;854;654;365;571;1751
disfruta;2688;410.379;244.903;831;522;1335;164;234;507;673;231;156;723
hello;1063;121.001;35.088;415;215;433;103;174;104;165;155;168;194
y;542529;64386.365;10996.323;218345;106497;217687;72195;70659;84071;84195;66857;68069;96483
cabron;624;131.773;115.069;290;56;278;9;10;48;169;318;20;50
pro;1682;389.657;132.889;984;217;481;359;449;140;135;321;131;147
oido;634;68.223;49.916;237;134;263;73;44;87;198;63;91;78
activo;546;108.669;98.236;189;70;287;27;33;63;57;47;21;298
prueba;2219;306.440;104.857;941;387;891;301;547;300;291;225;266;289
fuimos;1426;115.678;76.004;498;350;578;237;241;321;90;130;208;199
u_u;754;49.652;116.918;196;266;292;9;119;67;0;150;343;66
benito;1796;304.884;596.488;843;257;696;29;39;14;48;1609;18;39
alcaldia;623;73.201;133.833;286;141;196;2;9;367;32;19;34;160
santo;1859;305.382;83.930;898;293;668;107;342;270;309;298;202;331
fiestas;1905;242.848;139.299;725;360;820;173;274;271;575;207;224;181
flojera;852;76.374;104.578;340;197;315;15;167;43;5;206;280;136
amo;20356;1778.206;1465.815;5715;5803;8838;5190;2228;3990;583;3412;2379;2574
terraza;701;113.808;59.092;280;104;317;89;160;90;181;122;21;38
lineas;529;84.672;30.121;217;79;233;43;51;79;60;67;129;100
campo;1886;345.564;136.125;978;287;621;258;255;214;568;204;231;156
tlaquepaque;572;175.312;213.562;393;95;84;0;0;6;0;566;0;0
facil;4481;536.647;136.608;1804;874;1803;582;399;694;645;597;730;834
completa;1054;141.394;43.859;465;193;396;105;220;189;98;138;163;141
tuits;744;106.532;56.252;311;125;308;96;43;71;167;151;171;45
trabajando;3866;553.742;233.776;1769;683;1414;218;658;706;378;648;374;884
#dibujo;670;347.914;146.900;16;29;625;14;300;2;321;10;11;12
solos;743;79.387;31.997;293;156;294;104;71;153;76;93;100;146
venir;2973;317.005;137.164;1179;625;1169;614;345;278;543;542;355;296
orgullo;2379;196.947;161.232;939;569;871;298;141;650;324;247;293;426
muchos;7511;961.312;266.846;3351;1459;2701;755;848;1407;1119;1121;854;1407
durante;2419;343.907;133.558;1026;410;983;252;269;320;562;242;263;511
for;9221;1371.653;811.545;4457;1714;3050;595;1015;1007;1349;3035;1430;790
ambos;1019;182.544;31.931;500;141;378;103;164;122;121;153;160;196
@chicasdecalipso;994;561.763;375.697;6;980;8;0;994;0;0;0;0;0
segundos;917;126.500;23.692;422;171;324;146;122;160;159;111;117;102
exactamente;762;55.758;14.496;274;191;297;109;110;107;97;91;137;111
cuento;1980;226.978;66.419;677;425;878;299;227;378;276;182;274;344
oye;3259;353.808;294.720;1191;692;1376;33;871;398;479;703;607;168
conoci;1021;58.192;42.581;330;288;403;184;139;187;90;153;180;88
edo;987;251.291;261.428;607;118;262;3;52;4;11;164;33;720
valio;609;61.490;86.693;239;132;238;54;54;70;20;279;80;52
puesta;540;58.796;26.334;223;113;204;74;80;105;119;52;56;54
podrias;1030;318.861;187.188;205;117;708;90;101;38;568;101;82;50
derechos;1773;237.798;131.560;783;325;665;173;205;246;178;151;288;532
pollo;1918;258.543;111.857;685;361;872;174;345;215;212;158;363;451
marzo;1239;199.767;63.166;486;187;566;141;270;197;248;129;102;152
ole;1214;94.975;266.409;459;295;460;83;26;192;764;46;72;31
oferta;592;107.286;49.084;283;77;232;36;70;64;172;51;66;133
:p;5183;648.476;356.026;1555;1183;2445;666;1065;536;517;1065;1137;197
welcome;521;62.115;22.788;212;102;207;52;72;78;112;55;96;56
sonreir;1616;160.416;81.137;552;372;692;177;110;346;199;217;252;315
mierda;10094;1358.623;840.693;3565;1917;4612;3070;1535;1098;1239;368;1755;1029
harry;671;119.976;35.324;148;161;362;73;68;167;69;112;98;84
bahia;524;51.433;57.418;196;116;212;192;74;100;29;56;33;40
michael;674;93.778;34.437;314;127;233;58;152;78;92;132;96;66
encuentra;1491;224.702;84.091;508;267;716;106;184;310;165;217;168;341
pic;1470;160.720;170.468;665;349;456;67;232;115;207;544;267;38
talleres;525;114.118;38.833;169;64;292;101;64;27;142;70;38;83
seca;656;96.811;94.590;237;114;305;43;295;117;30;32;47;92
guia;806;96.231;53.421;308;159;339;47;96;94;213;128;83;145
preguntar;718;96.604;10.277;289;128;301;121;93;99;102;90;107;106
eleccion;821;104.333;39.723;363;159;299;182;96;139;77;90;87;150
luna;3404;222.507;102.114;1152;904;1348;458;441;620;409;476;633;367
hechos;961;116.715;67.751;370;187;404;84;93;218;107;113;95;251
43;502;71.396;59.511;234;92;176;29;39;37;45;155;35;162
morning;1093;39.273;91.772;386;319;388;64;102;116;348;170;134;159
tele;1243;145.926;132.975;505;246;492;341;287;49;308;86;152;20
sus;23435;3053.714;1002.143;9966;4317;9152;1814;3119;3870;2748;3283;3536;5065
autos;511;115.509;48.163;285;54;172;116;114;38;9;134;62;38
quita;1049;125.954;48.351;392;208;449;86;80;169;189;198;148;179
necesidad;1190;142.423;54.739;435;239;516;216;84;167;144;166;156;257
navidenya;510;71.582;24.963;192;90;228;19;88;79;89;78;68;89
olor;1046;104.462;74.791;360;239;447;289;219;102;108;108;125;95
abrazo;8478;1859.229;616.188;4852;1198;2428;826;1540;2455;1030;1055;619;953
propio;1349;162.586;58.869;548;262;539;138;136;274;195;138;206;262
#marketing;500;101.658;64.002;276;75;149;9;88;35;204;49;75;40
ddhh;568;90.007;140.912;152;292;124;23;100;26;2;8;17;392
pequenyos;1087;90.467;49.196;410;258;419;105;111;164;249;143;135;180
sweet;879;78.562;78.279;275;225;379;40;125;83;105;248;216;62
borracho;741;192.143;95.333;457;80;204;92;41;315;50;84;106;53
mori;690;52.849;51.935;214;187;289;154;136;54;29;110;152;55
jajajja;1235;146.977;121.459;398;272;565;312;385;120;132;97;124;65
regresar;854;84.719;118.905;320;188;346;37;39;81;23;342;225;107
#art;1074;298.985;134.334;670;74;330;65;171;55;226;418;93;46
#viernesdeganarseguidores;565;184.177;153.290;149;27;389;25;6;46;19;10;32;427
huracan;521;129.863;71.779;313;56;152;221;19;78;28;106;36;33
cd;1013;128.493;90.662;424;190;399;143;44;205;94;313;77;137
#instalike;1042;265.461;165.158;650;154;238;39;470;23;117;36;86;271
consejos;1236;125.694;51.104;479;267;490;101;144;195;228;153;166;249
conoce;2380;404.564;137.811;785;393;1202;201;286;433;238;262;363;597
cabo;626;59.214;35.293;258;143;225;57;59;102;135;134;54;85
huevo;1293;177.527;119.289;477;235;581;446;154;117;123;195;156;102
fans;1173;148.926;41.709;378;249;546;140;153;136;182;164;255;143
#felipelazo;507;292.717;191.628;507;0;0;0;507;0;0;0;0;0
notas;745;61.712;21.015;265;180;300;112;108;117;126;81;127;74
l;4709;779.850;307.692;1327;940;2442;429;411;497;654;534;1230;954
correr;3397;438.281;424.750;1550;676;1171;427;346;165;310;1431;366;352
vamonos;1059;141.255;215.403;464;194;401;14;21;84;247;605;43;45
zona;2604;239.213;199.401;1089;614;901;215;327;304;284;492;211;771
tenis;575;76.068;34.682;274;124;177;74;91;61;47;123;47;132
sea;17359;1925.525;291.683;6644;3581;7134;2507;2093;2650;2097;2707;2461;2844
oficialmente;641;57.588;14.797;273;158;210;63;94;86;109;98;89;102
house;2928;553.840;280.120;1458;371;1099;177;421;236;165;702;895;332
corporativo;535;140.557;131.321;299;24;212;2;36;6;22;371;56;42
necesario;1936;195.970;74.811;806;427;703;160;376;246;248;253;289;364
bailar;2207;218.793;63.065;640;581;986;353;340;329;261;284;414;226
martinez;1318;280.953;113.176;527;125;666;424;174;196;162;177;62;123
alas;584;90.357;25.370;209;98;277;69;42;111;67;107;102;86
app;4090;620.413;225.499;2020;787;1283;199;894;426;544;641;753;633
pasado;6703;771.368;285.328;2611;1347;2745;756;746;1019;1566;803;909;904
podran;753;114.839;64.096;345;123;285;66;80;115;95;70;79;248
#liberenalospresospoliticos;904;433.139;341.680;798;2;104;0;0;0;0;0;0;904
ira;887;118.056;29.381;399;167;321;75;163;125;141;107;151;125
presidenta;724;129.516;90.079;383;129;212;163;277;41;82;10;89;62
unos;8124;1005.253;245.018;3377;1552;3195;1144;921;993;1563;1307;894;1302
70;888;136.371;23.434;385;139;364;118;109;157;140;95;116;153
cuenta;11884;1423.981;232.562;4683;2321;4880;1844;1303;1713;1477;1739;1828;1980
k;4188;757.596;517.133;2111;602;1475;906;835;289;1541;187;272;158
libertadores;500;135.975;51.923;314;46;140;170;74;83;6;40;42;85
esquina;876;98.929;33.279;363;179;334;174;119;104;74;148;111;146
hagamos;776;90.512;34.246;299;155;322;160;71;102;76;111;104;152
new;9529;1500.950;313.568;4366;1490;3673;881;1406;1235;1915;1215;1412;1465
pueblos;572;85.448;64.259;240;92;240;24;76;127;88;31;27;199
let;874;81.445;63.944;328;198;348;72;106;93;125;244;172;62
can;1903;195.883;117.590;808;422;673;118;210;226;353;440;374;182
trabaja;1084;123.630;35.230;442;219;423;139;185;170;117;114;150;209
guadalupe;509;104.567;93.363;272;63;174;18;15;67;18;277;76;38
imagino;1366;176.307;66.135;537;253;576;273;277;205;106;128;168;209
electoral;1297;232.522;161.324;663;198;436;127;40;127;261;123;100;519
col;575;97.449;126.460;278;86;211;9;11;120;37;355;10;33
pal;1476;228.423;129.279;565;236;675;52;461;267;166;151;152;227
relaciones;787;113.712;60.459;368;142;277;39;72;129;79;224;101;143
#running;747;190.686;132.966;465;104;178;24;116;51;400;72;27;57
jajajajajajaj;510;62.960;35.928;152;118;240;148;79;76;65;46;52;44
sociedad;1636;298.027;64.046;841;245;550;201;207;280;228;182;181;357
existe;3474;388.853;103.691;1385;709;1380;526;431;518;339;449;542;669
zapopan;1391;360.658;523.545;818;97;476;2;0;1;0;1386;2;0
realiza;532;110.419;73.550;274;57;201;46;52;81;36;44;34;239
ultimamente;963;98.747;61.002;292;240;431;219;81;102;228;117;129;87
mostrar;607;106.369;27.986;254;80;273;82;117;122;63;44;82;97
quieras;1844;279.173;92.070;626;330;888;377;137;220;381;286;188;255
corona;852;133.787;92.739;391;134;327;38;54;233;77;269;59;122
fernando;1065;182.831;69.703;561;212;292;256;130;137;237;88;73;144
navidenyo;869;144.798;89.313;422;135;312;44;315;109;77;113;76;135
x;16665;1475.736;869.516;6705;3891;6069;2789;2811;1755;1582;1171;3478;3079
decis;573;62.217;173.460;170;142;261;472;9;5;66;2;8;11
aparte;1009;144.680;45.627;433;170;406;164;181;99;100;220;128;117
materia;736;93.927;70.303;280;139;317;240;90;68;34;120;46;138
pensar;5640;534.602;189.585;2103;1270;2267;1177;558;838;827;692;775;773
experiencia;2650;353.814;105.383;1099;475;1076;200;364;509;475;299;381;422
reino;602;116.638;44.762;328;99;175;40;42;172;94;76;75;103
esposo;512;86.315;56.180;76;245;191;22;26;127;10;116;65;146
vamo;535;79.324;77.302;195;92;248;246;28;75;54;31;71;30
atencion;3382;471.661;170.570;1468;589;1325;263;563;567;306;491;429;763
bebes;825;91.935;66.964;217;227;381;54;105;102;78;258;138;90
libre;4199;530.108;207.264;1584;802;1813;467;514;523;451;476;766;1002
franco;708;143.147;50.831;365;82;261;186;85;86;93;31;78;149
#work;807;103.233;38.169;376;170;261;103;106;74;120;102;106;196
mami;2190;252.929;131.803;563;606;1021;198;322;324;175;201;480;490
grecia;508;116.796;55.362;298;70;140;52;115;27;176;19;50;69
pusieron;623;86.350;44.049;260;108;255;153;117;74;25;123;75;56
estrategia;794;151.797;46.726;395;98;301;37;62;126;157;120;160;132
nuestros;6208;1059.862;601.804;2151;971;3086;329;595;1362;774;585;528;2035
vengan;1012;106.171;52.779;362;221;429;202;153;107;63;216;133;138
voto;3942;769.226;339.310;1478;476;1988;517;137;659;578;163;790;1098
debajo;546;73.573;28.255;213;98;235;48;44;86;125;65;84;94
friends;846;55.381;31.493;323;219;304;81;119;88;137;169;144;108
ciudades;557;93.029;43.943;280;94;183;51;74;156;125;61;38;52
alegro;734;68.821;79.302;324;201;209;136;95;92;267;32;48;64
canciones;2935;373.851;132.822;1036;579;1320;309;348;612;383;407;595;281
tomando;1707;214.795;97.363;696;321;690;365;384;173;167;203;268;147
condes;1645;189.685;597.195;733;354;558;14;1589;2;2;1;36;1
keep;525;58.617;34.814;221;109;195;41;56;68;96;126;105;33
quito;712;43.409;66.098;250;189;273;29;52;172;52;76;199;132
chino;1139;155.401;72.789;513;209;417;229;113;69;152;98;249;229
entiendo;4590;496.725;199.587;1590;1006;1994;1050;558;486;601;504;785;606
habria;925;151.071;56.185;462;160;303;121;201;95;223;90;109;86
barcelona;3327;381.084;830.891;1269;674;1384;209;132;161;2355;88;121;261
politico;1618;312.034;119.774;854;230;534;195;158;250;229;138;161;487
facultad;2480;362.503;304.462;1190;465;825;505;350;51;125;909;453;87
carretera;758;133.178;74.053;345;100;313;18;177;94;107;234;71;57
cosa;6869;786.324;177.048;2675;1385;2809;1233;938;963;1194;762;811;968
#digerible;759;438.209;286.875;0;0;759;0;0;0;759;0;0;0
saludos;10407;2113.220;862.525;5496;1279;3632;571;2304;1359;463;2341;948;2421
paraiso;1073;144.036;95.585;494;207;372;70;79;209;120;150;103;342
bolivia;576;106.508;67.441;304;92;180;103;173;33;21;8;165;73
obviamente;572;60.335;28.453;226;121;225;117;76;61;84;110;90;34
culo;1818;286.257;175.927;620;313;885;554;88;218;431;77;188;262
nuevamente;1486;247.835;132.265;727;234;525;155;447;286;36;115;237;210
partidos;1862;497.801;88.484;1155;170;537;326;193;218;437;237;260;191
fortaleza;643;131.554;116.062;162;117;364;18;27;159;30;34;44;331
girl;756;69.735;48.854;305;173;278;58;120;104;75;175;167;57
bien;37834;4142.064;889.240;14942;7829;15063;6561;4758;4785;5677;6469;5361;4223
acceso;584;93.751;32.822;264;88;232;36;140;74;90;63;77;104
wn;1688;365.088;585.680;960;242;486;7;1568;3;6;2;26;76
caracter;514;62.581;24.704;217;100;197;45;48;101;80;53;84;103
datos;2245;421.825;212.160;829;292;1124;229;780;226;355;232;278;145
estoy;32114;2957.721;1611.244;10428;7895;13791;7947;4670;3554;4451;4170;4469;2853
tenido;1826;221.374;132.437;781;359;686;87;230;259;530;236;230;254
bolsa;664;89.131;21.474;263;119;282;123;117;58;99;90;90;87
matrimonio;856;94.854;69.761;372;184;300;47;215;183;42;84;178;107
via;48112;7505.882;2381.137;23650;8643;15819;3417;7992;7790;10934;5251;5951;6777
aumento;856;123.290;144.741;389;149;318;77;67;95;47;44;78;448
exterior;519;111.054;82.210;177;60;282;39;28;76;49;40;30;257
tipo;5154;660.977;294.024;2048;957;2149;1232;648;540;492;546;618;1078
mitad;1985;233.029;44.034;840;398;747;297;338;265;334;263;212;276
estudiante;688;111.330;119.191;332;111;245;60;83;61;38;45;35;366
cagada;672;109.119;55.543;287;98;287;160;70;62;43;35;150;152
servicios;1033;201.644;51.746;430;114;489;59;196;201;160;133;106;178
jajajaja;22637;1511.289;728.908;8190;5819;8628;3826;3819;2550;2945;3587;3867;2043
it's;1745;165.908;107.531;723;399;623;117;199;232;284;439;313;161
vestido;1357;162.771;18.748;340;378;639;203;217;166;210;183;201;177
lentes;675;68.147;65.952;255;147;273;87;147;38;0;156;177;70
gran;20259;3000.409;841.935;9441;3516;7302;1892;3034;3617;4170;2284;2098;3164
transporte;1128;203.546;93.244;497;141;490;72;87;270;111;128;147;313
terminales;571;302.890;199.972;22;9;540;5;6;535;3;3;13;6
amigos;13043;1901.490;256.495;5329;2156;5558;1697;1942;2260;1481;1968;1696;1999
comparto;1330;121.022;134.599;563;321;446;94;164;464;255;150;68;135
conociendo;656;49.723;37.832;255;162;239;38;133;87;135;122;83;58
naranja;777;90.017;22.539;278;161;338;125;125;80;134;125;108;80
espectacular;1635;287.334;127.580;840;266;529;169;155;307;465;118;127;294
fifa;830;196.500;16.092;473;80;277;131;120;122;109;109;95;144
#valencia;1499;343.194;500.972;728;105;666;6;7;2;1345;0;6;133
tierra;3552;431.041;228.574;1538;704;1310;291;344;763;392;442;425;895
apartamento;829;421.584;274.662;763;23;43;4;3;53;17;9;3;740
tercera;932;139.407;32.106;440;163;329;93;170;120;184;128;118;119
rueda;708;126.645;64.955;334;93;281;59;35;193;120;73;46;182
amada;552;67.000;68.360;251;117;184;19;111;115;16;45;42;204
toca;4842;499.717;488.605;1898;1037;1907;318;255;714;1723;553;721;558
mate;1013;94.007;135.249;339;243;431;434;140;48;88;75;172;56
jajaj;3086;346.766;322.775;1013;690;1383;1074;650;311;409;249;253;140
columna;518;55.609;29.040;188;111;219;49;131;73;55;76;86;48
jajajajja;791;99.380;57.099;215;198;378;191;197;108;83;73;62;77
fraude;567;83.361;71.002;257;96;214;103;35;48;72;54;24;231
parece;9404;1232.478;401.295;4025;1728;3651;1687;1436;1040;1994;868;1349;1030
religion;508;69.616;14.305;212;89;207;80;74;70;84;50;59;91
primeros;1159;170.767;61.849;547;207;405;118;161;163;295;140;109;173
carnaval;714;87.584;63.040;284;137;293;97;62;214;131;49;30;131
toco;1685;211.666;94.829;700;318;667;234;246;414;109;284;175;223
esa;21222;2371.073;793.336;8180;4352;8690;3207;2478;4012;2016;2296;3257;3956
problema;4276;553.151;77.680;1843;798;1635;569;616;612;578;530;597;774
#family;1423;140.998;108.984;488;327;608;71;141;282;171;110;275;373
uribe;1082;305.714;306.487;710;142;230;15;18;841;8;13;42;145
familias;675;79.542;38.139;303;144;228;75;109;141;116;47;53;134
ven;5589;895.390;243.330;1946;929;2714;350;636;1026;918;908;738;1013
nyunyoa;1150;113.068;432.016;411;259;480;2;1144;0;0;0;4;0
#cine;637;72.528;52.586;286;141;210;37;108;97;189;30;90;86
#rt;1356;377.766;286.960;769;34;553;8;71;661;14;16;26;560
of;11378;1583.296;624.749;5358;2192;3828;800;2051;1327;1963;2437;1908;892
cafe;7617;906.520;481.359;3246;1517;2854;467;1333;770;853;1967;1029;1198
salsa;1673;279.436;162.068;525;296;852;60;134;564;281;158;255;221
psoe;633;202.457;221.689;444;78;111;3;14;1;593;1;6;15
millon;679;81.451;28.879;314;153;212;68;68;93;121;77;108;144
imagine;528;71.924;26.362;220;93;215;74;87;76;30;119;67;75
esperar;3826;436.592;79.111;1447;779;1600;646;512;554;431;470;604;609
siesta;1827;232.200;357.912;482;468;877;1024;253;33;341;48;114;14
previa;1000;159.516;154.193;396;152;452;436;272;36;74;29;109;44
sino;5863;637.897;269.174;2306;1218;2339;1017;442;841;801;551;1008;1203
etc;1963;300.676;85.448;880;313;770;211;315;199;271;216;309;442
enamorado;1197;172.357;57.752;522;202;473;150;82;236;169;217;223;120
promesas;549;31.432;27.537;197;147;205;82;39;130;64;70;79;85
himno;674;118.732;30.766;330;96;248;79;112;135;111;43;114;80
cuestion;1034;132.855;40.136;395;194;445;155;88;192;204;135;122;138
roja;1516;225.349;52.259;692;255;569;213;280;191;203;144;193;292
lleno;2716;279.429;114.874;1079;583;1054;323;414;620;284;345;307;423
margarita;671;87.088;99.931;296;127;248;77;76;77;29;67;28;317
todavia;5144;564.837;383.266;1886;1084;2174;1582;527;550;697;616;471;701
club;5316;817.710;188.596;2437;859;2020;865;1086;652;652;762;805;494
night;2091;151.384;84.081;810;525;756;184;257;295;457;327;311;260
ayudar;1415;138.074;41.370;571;314;530;140;244;224;196;181;174;256
arica;544;98.470;195.572;295;122;127;6;521;0;0;0;17;0
termine;1901;204.473;164.807;677;411;813;579;334;139;93;253;335;168
#graffiti_aroundtheworld;602;347.565;227.535;0;0;602;0;0;0;602;0;0;0
temporada;3468;584.388;240.953;1704;541;1223;304;485;331;1020;467;422;439
#vamoschile;550;22.942;200.428;199;157;194;2;533;0;0;1;12;2
pasan;2569;270.714;82.406;972;547;1050;529;330;349;288;293;394;386
mini;1008;136.107;48.511;316;211;481;137;167;96;152;101;118;237
vinya;1425;236.184;458.680;669;212;544;44;1243;27;16;3;56;36
ninguna;2071;223.849;65.654;812;432;827;355;238;262;365;205;282;364
pendeja;566;75.739;78.389;149;141;276;179;37;53;3;205;59;30
negros;551;85.524;37.549;186;97;268;162;61;79;70;56;58;65
supongo;809;108.302;44.455;373;157;279;84;156;62;186;121;121;79
#ahora;618;159.690;136.599;266;25;327;357;24;1;5;27;10;194
compras;1513;175.745;88.826;562;307;644;120;283;97;219;337;276;181
beso;3378;236.451;128.188;1161;874;1343;726;333;554;447;497;410;411
artista;1445;309.026;131.520;477;175;793;65;156;412;297;111;98;306
pelea;1101;161.614;45.040;532;209;360;172;194;191;64;143;156;181
codigo;823;133.508;76.657;330;122;371;72;153;47;122;267;112;50
central;2960;523.641;297.350;1458;423;1079;402;1004;200;217;618;326;193
